gene_symbol	ATC1	ATC2	ATC3	PTC1	PTC2	PTC3
KAZALD1	636	11	23	168	262	63
KAZ	95	52	588	4204	1481	866
KBTBD10	37	8	26	23	13	22
KBTBD11	155	4	1	88	5	0
KBTBD12	1	3	0	1	0	0
KBTBD13	0	0	0	0	0	0
KBTBD2	2381	1877	1905	3125	1518	1964
KBTBD3	39	186	235	199	166	218
KBTBD4	427	568	596	735	730	777
KBTBD5	2	0	0	0	0	0
KBTBD6	839	473	873	728	694	650
KBTBD7	212	103	184	425	421	287
KBTBD8	201	430	139	168	44	23
KC6	0	8	3	0	0	0
KCMF1	3781	1389	2607	2416	2587	2470
KCNA10	0	0	0	0	0	0
KCNA1	1	0	0	0	0	0
KCNA2	2	0	8	0	0	0
KCNA3	3	0	1	0	8	60
KCNA4	1	0	0	1	0	0
KCNA5	1	0	0	0	7	0
KCNA6	4	1	0	7	0	1
KCNA7	4	2	0	3	6	0
KCNAB1	46	52	90	35	41	583
KCNAB2	71	805	1921	899	505	365
KCNAB3	42	14	27	35	14	13
KCNB1	112	4	32	167	5	2
KCNB2	0	0	0	9	66	0
KCNC1	18	3	3	23	0	0
KCNC2	0	0	1	0	0	0
KCNC3	429	3	26	193	225	4
KCNC4	741	9	76	85	101	150
KCND1	261	228	191	870	136	662
KCND2	0	4	0	75	165	133
KCND3	0	2	2	2	0	0
KCNE1L	8	16	1	6	1	4
KCNE1	29	1	3	105	43	37
KCNE2	12	15	4	15	9	12
KCNE3	0	0	1	6	2	8
KCNE4	11	137	3281	143	355	752
KCNF1	149	1	0	3	4	43
KCNG1	5915	1666	109	270	3	9
KCNG2	2	5	4	22	1	0
KCNG3	27	11	1	2	0	1
KCNG4	0	0	0	0	0	0
KCNH1	5	523	448	5245	334	546
KCNH2	14	0	0	9	0	0
KCNH3	115	16	12	163	345	159
KCNH4	10	4	0	6	2	8
KCNH5	11	1	0	2	2	0
KCNH6	5	0	0	1	0	0
KCNH7	1	9	0	186	15	13
KCNH8	0	1	9	3	0	3
KCNIP1	0	5	1	7328	0	150
KCNIP2	9	16	71	30	42	37
KCNIP3	137	871	1173	2012	2127	2153
KCNIP4	20	39	54	37	53	32
KCNJ10	1	3	1	10	7	0
KCNJ11	5	13	1	1	1	4
KCNJ12	41	7	12	631	1069	543
KCNJ13	0	3	0	0	0	0
KCNJ14	177	50	62	61	21	18
KCNJ15	2	3	51	11	372	403
KCNJ16	0	2	2	4968	15435	4494
KCNJ1	0	10	1	1	8	2
KCNJ2	328	97	461	144	669	1449
KCNJ3	0	0	0	0	0	0
KCNJ4	5	0	2	3	0	1
KCNJ5	2	3	6	1	2	10
KCNJ6	2	3	10	73	27	56
KCNJ8	207	949	16	11	12	0
KCNJ9	0	0	1	0	0	0
KCNK10	3	77	1	4	0	1
KCNK12	18	0	0	1	11	47
KCNK13	3	16	0	87	16	124
KCNK15	7	3	0	2242	3	11
KCNK16	0	0	0	0	0	0
KCNK17	0	0	0	0	0	0
KCNK18	0	0	0	0	0	0
KCNK1	586	518	517	623	1112	591
KCNK2	464	1237	345	16	37	164
KCNK3	70	1	2047	530	2894	2704
KCNK4	1	3	1	2	3	0
KCNK5	97	0	0	21	9	313
KCNK6	107	103	332	309	361	691
KCNK7	3	7	3	4	1	6
KCNK9	2	1	0	0	1	0
KCNMA1	1030	14489	7083	3311	2886	5424
KCNMB1	2	0	1	0	21	1
KCNMB2	0	0	6	15	18	26
KCNMB3	219	70	35	132	36	51
KCNMB4	31	25	2	68	114	280
KCNN1	28	5	0	64	19	2
KCNN2	3	266	11	10	79	3
KCNN3	34	1	1	9	78	0
KCNN4	2365	1243	2543	671	2560	6268
KCNQ1DN	0	0	0	0	0	0
KCNQ1OT1	180	105	135	161	223	101
KCNQ1	0	0	0	26	1	3
KCNQ2	3	0	0	2	1	0
KCNQ3	3	368	790	45	775	388
KCNQ4	15	5	0	12	2	17
KCNQ5	1765	599	368	139	564	1606
KCNRG	13	3	6	8	3	7
KCNS1	1	15	0	0	35	22
KCNS2	1	0	2	0	1	0
KCNS3	12	326	2	161	162	340
KCNT1	0	1	1	3	1	1
KCNT2	220	316	161	707	115	553
KCNU1	12	17	3	1	5	0
KCNV1	0	9	0	1	16	21
KCNV2	3	4	0	1	1	0
KCP	1	1	0	1	24	8
KCTD10	4714	2621	3471	5923	2554	2833
KCTD11	360	1298	740	1575	1047	951
KCTD12	272	1143	3515	1311	2488	2684
KCTD13	677	309	453	340	515	375
KCTD14	8	659	912	1015	2916	1781
KCTD15	2592	4	0	1209	394	154
KCTD16	14	319	80	83	107	21
KCTD17	343	870	300	388	630	546
KCTD18	732	774	667	795	614	703
KCTD19	2	1	0	30	2	89
KCTD1	402	449	515	806	968	831
KCTD20	4614	2995	3405	5035	3320	3190
KCTD21	265	938	670	736	690	681
KCTD2	1521	2534	820	1806	1179	1523
KCTD3	1772	2229	2278	2545	3084	3144
KCTD4	3	34	52	28	20	16
KCTD5	2290	1390	1971	1486	1168	1118
KCTD6	147	426	191	225	292	289
KCTD7	310	856	459	1113	849	730
KCTD8	0	0	2	11	31	46
KCTD9	1349	1827	2152	1527	949	2336
KDELC1	1509	420	289	1011	990	571
KDELC2	3460	4299	4734	4318	3219	6378
KDELR1	9968	7708	7920	8139	9980	8697
KDELR2	16705	9070	14355	17943	15023	10998
KDELR3	1650	1520	2545	829	3610	3037
KDM1A	4026	5838	2461	4028	3684	4031
KDM1B	1162	994	775	817	1077	637
KDM2A	9302	5264	4337	4213	3418	4024
KDM2B	1384	1086	1012	1087	952	999
KDM3A	3186	1647	1959	2358	1894	2410
KDM3B	3800	3121	2444	6853	3492	3830
KDM4A	4273	2327	1811	3070	2097	1756
KDM4B	793	1878	1439	2384	2348	1548
KDM4C	996	884	815	1224	981	1040
KDM4DL	0	0	0	0	1	0
KDM4D	192	105	77	119	65	108
KDM5A	2787	5701	2928	4582	2317	2246
KDM5B	4594	2282	3442	5764	6736	3672
KDM5C	8286	4612	3711	3981	3886	3911
KDM5D	2	3	2	1	1425	1345
KDM6A	1801	1287	521	897	661	919
KDM6B	691	915	699	1633	1137	1282
KDR	3852	58	1	8	39	2
KDSR	1736	2555	2134	3145	1794	2431
KEAP1	5372	4765	845	3366	2945	3290
KEL	0	2	3	12	2	6
KERA	0	0	0	12	1	8
KGFLP1	277	72	141	4	115	42
KGFLP2	262	216	79	175	8	162
KHDC1L	1	4	0	2	0	0
KHDC1	123	204	105	136	37	76
KHDRBS1	8343	10240	6449	8922	6908	8539
KHDRBS2	0	0	0	5	14	0
KHDRBS3	249	926	1056	138	1164	1015
KHK	148	246	21	43	56	181
KHNYN	2433	3880	1922	2698	1953	3454
KHSRP	5664	8274	5281	5073	5266	5129
KIAA0020	3073	1939	1407	1255	969	827
KIAA0040	48	157	11	133	721	46
KIAA0087	0	0	0	0	0	0
KIAA0090	9070	7304	3883	4130	6751	4602
KIAA0100	5685	13148	6416	9534	9697	9377
KIAA0101	1071	2849	964	628	1230	1544
KIAA0114	765	1257	814	781	903	285
KIAA0125	1	0	0	0	0	0
KIAA0141	1862	2091	2007	4023	2343	1937
KIAA0146	905	1667	1177	1906	1102	1248
KIAA0174	4216	5015	3975	5431	2121	3786
KIAA0182	1205	402	1880	4439	850	3666
KIAA0195	2122	2261	1450	2789	2774	2937
KIAA0196	2517	4143	3482	2669	2510	2703
KIAA0226	1335	2104	880	1181	680	998
KIAA0232	1019	1689	3609	2633	2191	2114
KIAA0240	764	387	878	1232	721	1136
KIAA0247	1402	2172	3157	1992	2778	1640
KIAA0284	2054	3344	2279	2637	2027	2043
KIAA0317	5102	4169	3213	2836	2601	2610
KIAA0319L	3237	4217	3626	4591	4653	4294
KIAA0319	43	4	52	11	18	4
KIAA0355	1231	2551	1112	1861	1097	1491
KIAA0368	3827	5070	3775	5670	4296	5138
KIAA0391	1152	1154	1262	1254	1274	1229
KIAA0406	2442	2746	1371	2496	1135	1109
KIAA0408	0	0	0	0	0	0
KIAA0415	968	987	1491	2062	874	906
KIAA0427	848	1869	2133	8493	4123	1625
KIAA0430	3068	2332	3448	2500	2688	3294
KIAA0467	921	1372	1075	975	1050	884
KIAA0494	6295	3149	5357	6025	3568	3729
KIAA0495	1368	156	115	2011	1062	1269
KIAA0513	641	1866	1296	477	556	540
KIAA0528	2616	2858	1195	1748	1616	1344
KIAA0556	682	1025	1461	1665	1793	1405
KIAA0562	1489	1271	1175	1796	1201	1046
KIAA0564	1147	1096	1064	1068	1256	1070
KIAA0586	1278	1090	1247	731	541	1080
KIAA0649	337	5	610	1491	1153	1748
KIAA0652	3122	3831	2849	3052	2102	2280
KIAA0664P3	46	11	39	126	109	126
KIAA0664	3236	4714	2031	2729	2070	2043
KIAA0748	9	2	2	1	7	1
KIAA0753	751	1227	962	1048	869	1007
KIAA0754	3339	3179	2072	3948	2267	1631
KIAA0776	1809	1004	1137	1797	2021	2110
KIAA0802	588	2596	1603	1093	1282	1150
KIAA0831	1210	1151	791	1220	805	953
KIAA0892	2954	2660	1403	2374	1804	2001
KIAA0895L	258	459	1038	684	318	684
KIAA0895	60	137	82	558	285	192
KIAA0907	1758	1383	1446	1237	1929	1123
KIAA0913	3657	4985	3456	4165	3684	3380
KIAA0922	684	1133	1045	350	476	492
KIAA0947	3526	3682	1915	2712	2005	1984
KIAA1009	416	216	664	715	477	425
KIAA1012	1853	2036	2358	2169	1843	1905
KIAA1024	117	179	111	83	162	83
KIAA1033	3559	1911	3722	3670	2283	2924
KIAA1045	2	0	0	7	13	4
KIAA1107	80	200	254	271	219	292
KIAA1109	1309	5085	4288	4680	3204	4132
KIAA1143	1465	3316	1855	3232	2056	2271
KIAA1147	707	1410	1360	1545	1235	955
KIAA1161	182	1137	63	285	401	313
KIAA1191	5005	4825	3456	6758	3915	4131
KIAA1199	27	337	31	13754	211	2236
KIAA1210	0	0	0	0	0	0
KIAA1211	150	390	150	33	260	196
KIAA1217	5441	1992	2596	6502	4368	2880
KIAA1239	0	2	0	1	0	0
KIAA1244	779	35	32	466	729	865
KIAA1257	4	0	3	0	5	5
KIAA1267	987	1803	1146	2085	1342	1860
KIAA1274	628	1863	6	92	15	9
KIAA1279	2344	5367	978	1312	1769	1519
KIAA1310	3561	2072	2285	3057	1996	1810
KIAA1324L	497	33	73	520	361	50
KIAA1324	11	41	198	84	179	58
KIAA1328	74	190	122	184	252	274
KIAA1370	497	503	658	1171	798	1063
KIAA1377	360	296	178	338	332	420
KIAA1383	276	225	0	480	0	141
KIAA1407	76	137	255	325	165	276
KIAA1409	26	4	10	15	8	3
KIAA1429	3274	4254	2856	3806	2993	3232
KIAA1430	1689	3349	3296	2888	1746	2413
KIAA1432	1511	3136	1380	2828	1706	1998
KIAA1462	218	1453	1348	336	3702	5152
KIAA1467	525	1375	316	405	707	320
KIAA1468	1175	1602	1707	1451	1237	1274
KIAA1486	0	0	0	406	31	3
KIAA1522	134	3420	3640	9005	4035	3303
KIAA1524	4893	1631	1145	784	779	1383
KIAA1529	2	131	264	214	180	148
KIAA1530	229	554	425	778	502	461
KIAA1539	3416	1145	1383	1118	1565	777
KIAA1543	25	13	1	233	24	8
KIAA1549	554	1174	1770	1176	571	299
KIAA1586	504	303	391	555	435	439
KIAA1598	375	1359	1360	819	722	530
KIAA1609	704	2251	1416	2032	615	1675
KIAA1614	43	85	87	195	64	406
KIAA1632	6524	5292	3021	3279	2122	4112
KIAA1644	0	136	7913	482	31	2018
KIAA1671	2098	2	311	607	469	2623
KIAA1683	26	9	15	78	25	48
KIAA1704	434	434	575	527	495	490
KIAA1712	544	1031	714	836	586	861
KIAA1715	2725	3081	2781	1613	1884	2232
KIAA1731	959	1416	915	844	738	1053
KIAA1737	1131	920	850	668	589	745
KIAA1751	1	0	0	0	1	0
KIAA1755	387	102	33	28	9	76
KIAA1797	2555	3369	1669	2	2001	1839
KIAA1804	263	374	200	178	442	269
KIAA1826	585	1618	1621	1006	1027	772
KIAA1841	268	334	390	334	271	575
KIAA1875	56	25	47	146	44	50
KIAA1908	71	139	651	976	151	118
KIAA1919	361	100	93	272	185	249
KIAA1949	8723	3850	5364	2850	3867	6233
KIAA1958	294	401	175	478	129	362
KIAA1967	8264	4444	4646	5671	4558	3949
KIAA1984	5	10	2	6	17	7
KIAA2013	3483	3571	2590	2259	2191	2510
KIAA2018	1179	651	690	904	1028	1262
KIAA2022	4	0	0	153	14	0
KIAA2026	1097	1143	883	1420	1378	1437
KIDINS220	3073	5070	3113	4012	3939	4867
KIF11	6612	3461	1714	1997	2016	3745
KIF12	1	0	0	42	31	5
KIF13A	2803	2722	2295	5141	3701	4905
KIF13B	2149	1479	1748	696	775	1211
KIF14	2923	575	994	993	1597	1670
KIF15	1008	1478	532	761	818	1224
KIF16B	503	726	744	1122	657	673
KIF17	92	138	28	125	55	57
KIF18A	963	1223	684	679	489	961
KIF18B	1110	1288	515	846	790	1755
KIF19	5	0	0	0	0	0
KIF1A	329	0	0	34	12	5
KIF1B	4872	5064	2450	3736	2693	2535
KIF1C	2489	10725	6194	7758	5801	6349
KIF20A	4020	1111	1169	5294	2742	2895
KIF20B	3450	1099	1442	1419	1599	2517
KIF21A	2373	481	751	530	453	472
KIF21B	69	5	67	69	230	53
KIF22	2491	1940	1187	1266	1275	2327
KIF23	2931	2528	1236	2463	2216	3741
KIF24	688	647	232	281	282	228
KIF25	0	0	0	3	0	0
KIF26A	114	0	0	92	5	2
KIF26B	191	387	425	222	187	225
KIF27	248	76	110	228	170	245
KIF2A	2830	3844	2579	3212	1488	1816
KIF2B	0	0	0	0	0	0
KIF2C	4772	2946	1352	1490	1701	2509
KIF3A	999	867	756	1609	965	577
KIF3B	4256	4947	2297	6141	2735	3179
KIF3C	3660	1384	695	825	935	1219
KIF4A	4183	2360	1240	1313	1538	2054
KIF4B	8	5	2	3	5	3
KIF5A	19	205	4	219	16	0
KIF5B	15635	7427	10452	10054	9965	9517
KIF5C	253	661	2	189	995	53
KIF6	0	0	18	42	27	0
KIF7	1615	1141	283	616	490	827
KIF9	133	139	142	114	92	126
KIFAP3	1087	850	1402	1297	1880	1113
KIFC1	3180	1555	948	1212	1406	2523
KIFC2	209	1808	1219	1247	1315	805
KIFC3	2437	5017	2267	4483	1542	1754
KILLIN	42	132	72	145	66	87
KIN	537	474	530	529	408	356
KIR2DL1	0	1	0	7	6	1
KIR2DL3	0	0	0	1	1	1
KIR2DL4	0	0	0	60	22	0
KIR2DS4	0	0	0	0	1	1
KIR3DL1	0	0	1	3	2	0
KIR3DL2	0	0	0	2	1	0
KIR3DL3	0	0	0	0	0	0
KIR3DP1	0	0	0	0	0	0
KIR3DX1	0	0	0	0	0	0
KIRREL2	164	8	0	19	1	2
KIRREL3	5	2088	26	83	25	140
KIRREL	12304	5858	13451	16851	13497	9109
KISS1R	0	0	0	1	7	0
KISS1	0	14	0	206	10	1
KITLG	3559	3196	6459	2186	1109	1333
KIT	17	3061	1	160	262	12
KLB	2	2	0	0	3	6
KLC1	6522	5600	4135	3339	4331	3561
KLC2	1186	2287	1290	1257	1468	1211
KLC3	81	174	17	208	63	10
KLC4	522	471	469	1119	1037	896
KLF10	2735	2520	3134	4905	1881	3270
KLF11	443	128	432	896	796	1021
KLF12	425	1717	1402	1607	804	2149
KLF13	857	1004	1814	3953	2151	4391
KLF14	0	1	0	0	0	0
KLF15	10	5	1	17	11	5
KLF16	2790	2041	1328	1194	1100	1261
KLF17	10	7	16	22	13	168
KLF1	4	0	0	0	0	0
KLF2	2808	250	98	123	34	338
KLF3	4177	2764	1656	1711	972	1658
KLF4	665	746	964	381	360	284
KLF5	344	1904	526	2634	1078	1594
KLF6	4196	6939	6499	5416	3644	7530
KLF7	1751	896	847	868	608	1169
KLF8	2	1	341	148	330	294
KLF9	681	968	959	538	209	786
KLHDC10	1973	1530	1750	3385	1918	1866
KLHDC1	47	97	222	154	76	86
KLHDC2	1308	1435	969	1718	1183	1707
KLHDC3	2189	1422	1420	2263	1992	1705
KLHDC4	553	726	441	477	288	605
KLHDC5	2278	1857	2342	1582	1075	780
KLHDC7A	0	1	32	245	117	1
KLHDC7B	38	117	1	1	67	12
KLHDC8A	3	15	1	9	16	165
KLHDC8B	70	429	376	479	347	503
KLHDC9	38	0	27	85	101	108
KLHL10	0	2	0	0	0	1
KLHL11	5	630	231	503	509	435
KLHL12	2150	1700	1609	1775	2581	1622
KLHL13	257	1757	292	3866	1264	842
KLHL14	1	49	848	198	1012	630
KLHL15	1771	624	491	547	559	736
KLHL17	246	566	361	441	416	398
KLHL18	816	1229	734	799	791	615
KLHL1	0	1	0	6	1	0
KLHL20	1268	918	1301	930	1410	913
KLHL21	1891	2866	2253	1705	1391	1842
KLHL22	263	1311	554	363	1071	915
KLHL23	412	777	168	394	151	255
KLHL24	2341	849	460	2220	1653	1788
KLHL25	208	240	159	230	128	137
KLHL26	313	715	269	290	323	414
KLHL28	486	554	498	750	498	549
KLHL29	424	4	233	683	250	249
KLHL2	918	1238	1165	963	850	1335
KLHL30	0	1	2	43	50	35
KLHL31	17	9	13	54	38	32
KLHL32	2	1	4	6	5	1
KLHL33	0	0	0	0	2	6
KLHL34	0	0	0	0	0	1
KLHL35	59	96	62	172	2	92
KLHL36	752	3102	2730	2217	1782	3162
KLHL38	0	1	0	0	2	0
KLHL3	3	188	223	350	179	131
KLHL4	190	2	283	81	102	0
KLHL5	3552	2752	3312	2799	4021	1984
KLHL6	1	0	0	0	2	0
KLHL7	1168	2001	1338	1709	1149	1264
KLHL8	874	1309	1062	1161	1062	1084
KLHL9	2396	2171	2627	5	2494	2101
KLK10	38944	1	1	0	2	2
KLK11	6	0	0	0	0	0
KLK12	1	0	0	0	0	0
KLK13	746	0	0	2	0	0
KLK14	5	1	1	3	2	0
KLK15	0	0	0	0	0	0
KLK1	0	0	0	1	6	1
KLK2	0	0	0	0	2	0
KLK3	0	0	0	1	0	0
KLK4	14	0	0	0	0	4
KLK5	0	0	0	1	0	1
KLK6	1	0	0	0	0	2
KLK7	31	0	0	1	0	1
KLK8	73	0	0	0	0	1
KLK9	65	0	0	0	0	0
KLKB1	4	6	24	5	5	1
KLKP1	0	0	0	0	0	0
KLRA1	83	52	102	74	61	70
KLRAQ1	1200	588	786	685	832	888
KLRB1	0	0	0	0	0	0
KLRC1	0	28	2	10	75	27
KLRC2	2	4	1	0	11	7
KLRC3	0	0	0	0	19	12
KLRC4	0	0	0	0	2	3
KLRD1	0	0	1	9	1	5
KLRF1	6	0	0	0	0	0
KLRG1	12	14	9	35	12	0
KLRG2	20	0	0	35	1990	26
KLRK1	3	0	0	0	7	7
KL	2	2	5	7	10	3
KMO	4	7	95	11	43	5
KNCN	0	0	0	0	0	0
KNDC1	20	0	83	112	106	171
KNG1	0	0	0	0	0	0
KNTC1	2433	2070	1103	1096	1046	2116
KPNA1	4023	3868	2428	2907	2349	2420
KPNA2	23219	5250	5120	6546	6420	7047
KPNA3	3209	2509	3768	2230	2532	2058
KPNA4	8047	5940	4415	4005	3267	3702
KPNA5	255	216	264	213	262	263
KPNA6	4880	5826	4138	4499	4040	4079
KPNA7	4	0	0	0	0	0
KPNB1	22548	23281	10639	12774	14186	14229
KPRP	2	0	0	0	0	0
KPTN	663	404	327	320	297	230
KRAS	1663	1376	1732	2387	1202	1525
KRBA1	182	444	337	711	451	386
KRBA2	67	59	73	189	109	124
KRCC1	966	521	2388	1182	816	931
KREMEN1	159	547	163	180	658	543
KREMEN2	13	154	5	23	13	16
KRI1	2428	2442	1092	951	990	1026
KRIT1	1099	1383	1441	2723	1238	1029
KRR1	1714	1124	2688	2226	1267	1556
KRT10	4	1310	1245	850	1005	639
KRT12	0	0	0	0	1	0
KRT13	0	11	0	0	0	1
KRT14	0	587	2	4	0	0
KRT15	0	1134	17	10	86	99
KRT16	0	1	0	10	1	0
KRT17	0	27	2	49	51	10
KRT18	1564	3512	4153	11767	6512	12572
KRT19	0	46	4	3757	15331	33324
KRT1	0	0	0	0	0	0
KRT20	0	3	0	0	0	3
KRT222	0	1	0	10	42	34
KRT23	0	37	1	2	35	12
KRT24	0	0	0	0	0	0
KRT25	0	0	0	0	0	0
KRT26	0	0	0	0	0	0
KRT27	0	0	0	1	13	7
KRT28	0	1	0	0	0	0
KRT2	0	0	21	0	2	0
KRT31	0	2	0	0	0	0
KRT32	0	35	0	3	1	0
KRT33A	0	1	0	0	0	0
KRT33B	0	67	0	9	1	1
KRT34	0	265	2	8	4	3
KRT35	0	0	0	0	0	0
KRT36	0	3	0	0	2	0
KRT37	0	4	0	0	0	0
KRT38	0	1	0	1	0	0
KRT39	0	1	1	1	22	0
KRT3	0	0	15	1	1	0
KRT40	0	0	0	0	2	1
KRT4	1	0	4	1163	2	1
KRT5	1	0	0	2	0	24
KRT6A	4	0	0	4	1	0
KRT6B	0	0	0	0	3	7
KRT6C	0	0	0	0	0	0
KRT71	0	0	0	0	0	0
KRT72	0	0	0	0	0	0
KRT73	0	0	0	0	0	0
KRT74	0	0	0	2	0	0
KRT75	3	1	0	5	0	0
KRT76	0	0	0	0	0	0
KRT77	0	0	0	0	0	0
KRT78	1	1	13	2	10	0
KRT79	4	3	46	1	10	1
KRT7	14177	16895	439	78101	18820	41961
KRT80	3474	1025	1306	14922	2087	2222
KRT81	53	12	24	36575	454	43
KRT82	0	0	0	0	0	0
KRT83	4	3	0	4	3	0
KRT84	0	0	0	0	0	0
KRT85	0	0	0	0	0	0
KRT86	11	5	24	329	83	18
KRT8	136	606	4325	25448	18178	36952
KRT9	0	0	0	0	0	0
KRTAP1-1	0	8	1	0	0	2
KRTAP1-3	0	0	0	0	0	0
KRTAP1-5	0	80	3	1	1	0
KRTAP10-10	0	0	0	0	0	0
KRTAP10-11	0	0	0	0	0	0
KRTAP10-12	0	0	0	0	0	0
KRTAP10-1	0	0	0	0	0	0
KRTAP10-2	0	0	0	0	0	0
KRTAP10-3	0	0	0	0	0	0
KRTAP10-4	0	0	0	0	0	0
KRTAP10-5	0	0	0	0	0	0
KRTAP10-6	0	0	0	0	0	0
KRTAP10-7	0	0	0	0	0	0
KRTAP10-8	0	0	0	0	0	0
KRTAP10-9	0	0	0	0	0	0
KRTAP11-1	0	0	0	0	0	0
KRTAP12-1	0	0	0	0	0	0
KRTAP12-2	0	0	0	0	0	0
KRTAP12-3	0	0	0	0	0	0
KRTAP12-4	0	0	0	0	0	0
KRTAP13-1	0	0	0	0	0	0
KRTAP13-2	0	0	0	0	0	0
KRTAP13-3	0	0	0	0	0	0
KRTAP13-4	0	0	0	0	0	0
KRTAP15-1	0	0	0	0	0	0
KRTAP17-1	0	1	0	0	0	0
KRTAP19-1	0	0	0	0	0	0
KRTAP19-2	0	0	0	0	0	0
KRTAP19-3	0	0	0	0	0	0
KRTAP19-4	0	0	0	0	0	0
KRTAP19-5	0	0	0	0	0	0
KRTAP19-6	0	0	0	0	0	0
KRTAP19-7	0	0	0	0	0	0
KRTAP19-8	0	0	0	0	0	0
KRTAP2-1	0	5	0	0	2	0
KRTAP2-2	0	48	0	1	0	0
KRTAP2-4	0	191	0	1	9	1
KRTAP20-1	0	0	0	0	0	0
KRTAP20-2	0	0	0	0	0	0
KRTAP20-3	0	0	0	0	0	0
KRTAP20-4	0	0	0	0	0	0
KRTAP21-1	0	0	0	0	0	0
KRTAP21-2	0	0	0	0	0	0
KRTAP22-1	0	0	0	0	0	0
KRTAP23-1	0	0	0	0	0	0
KRTAP24-1	0	0	0	0	0	0
KRTAP25-1	0	0	0	0	0	0
KRTAP26-1	0	0	0	0	0	0
KRTAP27-1	0	0	0	0	0	0
KRTAP3-1	0	0	0	0	0	0
KRTAP3-2	0	4	0	0	0	0
KRTAP3-3	0	0	0	0	0	0
KRTAP4-11	0	1	0	0	0	0
KRTAP4-12	0	32	0	0	1	0
KRTAP4-1	0	2	0	0	0	0
KRTAP4-2	0	0	0	0	0	0
KRTAP4-3	0	0	0	0	0	0
KRTAP4-4	0	0	0	0	0	0
KRTAP4-5	0	0	0	0	0	0
KRTAP4-7	0	5	0	0	0	0
KRTAP4-8	0	0	0	0	0	0
KRTAP4-9	0	8	0	0	0	0
KRTAP5-10	0	0	0	0	1	1
KRTAP5-11	0	0	0	0	0	0
KRTAP5-1	0	0	2	3	0	0
KRTAP5-2	0	0	6	0	1	0
KRTAP5-3	0	0	0	0	0	0
KRTAP5-4	0	0	0	0	0	0
KRTAP5-5	0	0	0	0	0	0
KRTAP5-6	0	0	0	0	0	0
KRTAP5-7	0	0	0	0	0	1
KRTAP5-8	0	0	0	0	0	0
KRTAP5-9	3	0	1	6	4	1
KRTAP6-1	0	0	0	0	0	0
KRTAP6-2	0	0	0	0	0	0
KRTAP6-3	0	0	0	0	0	0
KRTAP7-1	0	0	0	0	0	0
KRTAP8-1	0	0	0	0	0	0
KRTAP9-2	0	0	0	0	0	0
KRTAP9-4	0	0	0	0	0	0
KRTAP9-8	0	0	0	0	0	0
KRTAP9-9	0	1	0	0	0	0
KRTCAP2	2486	1846	1552	2061	2358	1511
KRTCAP3	19	8	9	13	7	11
KRTDAP	0	1	0	0	0	0
KSR1	256	241	136	226	146	123
KSR2	107	237	2	224	82	174
KTELC1	2090	1295	1040	846	744	543
KTI12	929	671	592	495	514	353
KTN1	13383	12182	11939	15827	11444	10163
KYNU	537	26	11401	34	32	4
KY	1	16	21	3	70	119
L1CAM	13	23	1938	11618	26422	363
L1TD1	0	0	0	0	0	0
L2HGDH	841	1335	421	403	341	488
L3MBTL2	977	1368	1195	775	1233	923
L3MBTL3	2030	253	228	347	506	312
L3MBTL4	228	0	0	66	64	1
L3MBTL	79	126	75	96	125	153
LACE1	106	85	67	108	104	96
LACRT	0	0	0	0	0	0
LACTB2	512	874	321	1344	419	463
LACTB	2035	2120	1034	1689	1123	901
LAD1	31	0	0	6	1	1
LAG3	32	10	3	40	2	19
LAGE3	1182	604	399	651	730	491
LAIR1	8	1	1	1	1	0
LAIR2	0	0	0	0	0	1
LALBA	0	0	0	0	0	0
LAMA1	263	21	21	299	4826	435
LAMA2	1152	150	202	70	435	161
LAMA3	3046	1147	708	1164	1797	3068
LAMA4	25263	479	32	930	993	3046
LAMA5	590	537	10008	28233	2603	3214
LAMB1	13663	13281	8489	16973	24668	15647
LAMB2L	20	13	3	8	6	3
LAMB2	6447	6374	18071	24359	9708	8949
LAMB3	26485	18968	27014	13577	39702	18478
LAMB4	30	10	4	1	3	0
LAMC1	18234	16336	33941	21224	62341	37537
LAMC2	89673	7694	7017	3899	112239	24171
LAMC3	211	1	2	57	1	75
LAMP1	6501	6943	16958	14598	18410	12159
LAMP2	11107	8630	6600	6682	11062	9312
LAMP3	135	24	0	57	10	8
LANCL1	2546	6374	3460	4633	3975	3536
LANCL2	1708	1140	731	1390	494	615
LANCL3	97	25	64	20	51	3
LAP3	3785	8700	2443	2072	1491	1580
LAPTM4A	12253	4191	11245	15773	9893	11912
LAPTM4B	4799	4629	3071	6205	4570	2926
LAPTM5	102	3	9	9	1134	447
LARGE	109	1	1075	323	655	107
LARP1B	446	921	537	502	510	659
LARP1	16371	15107	11630	13922	9494	9796
LARP4B	3400	2256	2279	2689	2303	2441
LARP4	3792	2307	2672	3908	1944	1427
LARP6	1563	1613	763	1054	1458	1634
LARP7	1261	2148	2150	1984	1197	1153
LARS2	875	2537	1532	1275	953	1011
LARS	13083	9118	6606	8459	4662	3796
LAS1L	2883	2512	1322	1483	1157	1137
LASP1	18636	18350	13851	22188	15937	14659
LASS1	31	34	2	230	315	189
LASS2	9713	4539	5755	7134	10078	6745
LASS3	1	2	1	1	0	2
LASS4	491	4	10	535	336	557
LASS5	1310	1315	1066	1748	963	1458
LASS6	3674	1943	2186	3082	2986	2477
LAT2	1963	71	24	25	15	17
LATS1	1657	1205	1454	1974	1655	1633
LATS2	2307	808	953	3934	924	1633
