gene_symbol	ATC1	ATC2	ATC3	PTC1	PTC2	PTC3
CAMK2N1	594	7535	3627	1089	842	2764
CAMK2N2	32	413	351	389	90	125
CAMK4	36	507	322	62	115	125
CAMKK1	131	300	235	582	987	1245
CAMKK2	2259	1191	1410	2167	2150	2372
CAMKV	6	1	0	26	0	2
CAMLG	1645	1989	986	3120	1627	1569
CAMP	3	0	0	0	17	6
CAMSAP1L1	4757	3374	5698	4465	5273	3150
CAMSAP1	1051	2566	1720	2028	1553	2780
CAMTA1	807	853	639	1207	736	796
CAMTA2	1089	2848	1546	1760	2086	1822
CAND1	3234	3709	6054	8682	6904	5838
CAND2	427	406	16	189	119	80
CANT1	8662	3659	3508	3241	3827	3718
CANX	50778	37586	35305	50105	24592	22679
CAP1	16321	22110	18358	9582	13818	12473
CAP2	1486	1370	1943	1625	2335	1151
CAPG	15460	2485	3810	5795	5901	11037
CAPN10	496	630	545	631	558	667
CAPN11	1	0	0	0	0	0
CAPN12	20	27	16	13	18	26
CAPN13	0	2	0	0	0	1
CAPN14	34	11	48	5	20	6
CAPN1	3001	8401	5474	4869	6526	7551
CAPN2	39287	17763	36095	18949	37320	29313
CAPN3	28	237	138	83	49	81
CAPN5	821	1697	1295	1225	824	1005
CAPN6	1	22	2	90	129	3
CAPN7	856	1364	1476	1735	1255	1593
CAPN8	2	0	1	3	2	2
CAPN9	0	0	0	1	1	1
CAPNS1	11080	13652	12461	14623	13332	15422
CAPNS2	0	4	0	0	1	1
CAPRIN1	11045	17393	18148	11757	13416	13496
CAPRIN2	2298	1907	1374	562	570	742
CAPS2	47	33	231	80	47	82
CAPSL	0	0	3	9	21	1
CAPS	40	47	91	567	359	655
CAPZA1	11183	11699	8294	6897	6972	6945
CAPZA2	4052	5142	4457	5305	4069	4730
CAPZA3	0	0	0	0	0	0
CAPZB	6435	10999	9348	6810	9004	7939
CARD10	592	853	2670	930	1454	1197
CARD11	1	153	3	107	34	126
CARD14	40	58	44	39	13	14
CARD16	112	1	609	85	539	1
CARD17	0	2	0	0	0	0
CARD18	0	0	0	0	1	0
CARD6	474	397	917	355	528	425
CARD8	1214	1142	901	611	623	738
CARD9	2	11	8	37	17	13
CARHSP1	1494	3352	1354	1716	1463	3686
CARKD	911	666	1398	1760	1385	1083
CARM1	3549	3207	1802	2220	2402	2771
CARNS1	16	24	12	44	56	143
CARS2	445	946	1664	759	915	1304
CARS	5294	2811	4784	2531	1851	1794
CARTPT	0	0	0	0	0	0
CASC1	8	10	9	55	27	30
CASC2	54	47	40	124	62	80
CASC3	2932	5082	1834	3668	3248	3662
CASC4	4413	4880	7355	7206	6548	6672
CASC5	1338	1103	658	1070	1079	1703
CASD1	1268	1053	913	1581	936	986
CASKIN1	17	9	3	120	64	11
CASKIN2	1168	1778	595	1610	975	1229
CASK	1220	1595	1344	2321	5244	2378
CASP10	75	179	235	122	370	148
CASP12	0	0	0	0	0	0
CASP14	0	0	0	0	0	0
CASP1	67	522	1343	233	599	224
CASP2	1580	3333	1172	2273	1205	1065
CASP3	1922	1935	2423	2130	1230	1352
CASP4	1978	2257	3021	1357	1652	502
CASP5	0	0	1	0	3	0
CASP6	298	603	425	389	460	540
CASP7	945	1521	1619	1921	1466	1097
CASP8AP2	1209	1616	1070	1071	1006	1019
CASP8	1651	1433	1799	904	1205	562
CASP9	395	716	484	438	405	329
CASQ1	1	2	0	9	19	1
CASQ2	0	0	1	0	0	0
CASR	0	0	0	0	0	0
CASS4	13	10	8	2	5	3
CAST	14668	13020	10375	13069	12794	15239
CASZ1	173	78	14	364	115	198
CATSPER1	0	48	25	42	259	112
CATSPER2P1	4	34	10	67	29	20
CATSPER2	2	19	14	21	18	10
CATSPER3	18	5	10	18	3	12
CATSPER4	0	0	0	0	0	0
CATSPERB	0	0	0	0	0	0
CATSPERG	16	12	2	11	24	8
CAT	951	1377	4481	2872	5705	6083
CAV1	4965	26370	21724	57183	37925	52663
CAV2	1112	2756	5727	13788	13032	12082
CAV3	0	0	0	0	0	0
CBARA1	1849	7004	1483	2652	2603	3166
CBFA2T2	773	894	871	2459	1542	1534
CBFA2T3	7	0	0	1	2	0
CBFB	3947	3788	2177	2937	1149	2809
CBLB	1756	597	456	1653	754	778
CBLC	0	8	0	0	2	1
CBLL1	2115	1098	1279	2144	1005	1090
CBLN1	17	0	0	102	46	6
CBLN2	1275	4	1	0	52	0
CBLN3	96	33	114	151	178	194
CBLN4	0	0	0	0	0	0
CBL	1565	5037	3549	2874	2287	3190
CBR1	1147	6594	5372	1708	426	1794
CBR3	194	709	320	187	170	573
CBR4	332	597	462	578	491	561
CBS	4110	5215	4086	2199	2417	1782
CBWD1	1051	873	684	729	706	548
CBWD2	1009	588	668	750	718	540
CBWD3	283	139	175	95	139	107
CBWD5	1447	1960	610	504	349	303
CBWD6	187	158	69	119	93	34
CBX1	5131	6180	2583	4790	4045	3744
CBX2	343	885	339	463	110	180
CBX3	9630	7179	6944	9821	6474	6665
CBX4	1166	1170	1263	936	857	698
CBX5	9203	7014	8566	12438	11658	12433
CBX6	2878	5881	5945	3291	4717	6290
CBX7	207	402	445	487	451	696
CBX8	233	224	282	245	195	153
CBY1	416	882	858	454	880	807
CC2D1A	1379	2718	1527	1353	1526	1088
CC2D1B	1208	2567	1117	1278	1778	1901
CC2D2A	668	1589	1407	664	648	905
CC2D2B	1	1	0	0	6	0
CCAR1	5541	4073	3179	3253	1991	1970
CCBE1	491	4547	1526	6431	1085	3033
CCBL1	211	859	154	228	364	414
CCBL2	529	2163	586	829	1030	1087
CCBP2	2	6	2	23	11	3
CCDC101	508	256	244	301	156	213
CCDC102A	436	542	419	539	271	251
CCDC102B	156	8	42	43	41	30
CCDC103	56	132	64	244	312	273
CCDC104	820	621	1014	969	1034	1089
CCDC105	0	0	0	0	0	0
CCDC106	276	838	487	580	537	626
CCDC107	185	565	255	270	500	160
CCDC108	3	2	0	28	1	0
CCDC109A	1783	6040	1174	1820	1686	1839
CCDC109B	313	1577	323	561	409	856
CCDC110	5	83	356	78	141	203
CCDC111	399	884	651	420	350	344
CCDC112	678	536	185	179	154	302
CCDC113	199	57	278	364	285	267
CCDC114	9	13	8	12	56	52
CCDC115	917	529	1165	1182	1114	1080
